"index";"Company";"TypeName";"inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"price";"ppi"
69;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;4;"HDD";1024;0;"Intel";" HD Graphics 620";"window";1.9;29251;141
70;"Asus";"Gaming";17.3;"large";1080;1920;0;"Intel";" Core i7";2.8;12;"HDD";1024;0;"Nvidia";" GeForce GTX 1050 Ti";"linux";3.0;50563;127
71;"Microsoft";"Ultrabook";13.5;"small";1504;2256;1;"Intel";" Core i5";2.5;4;"SSD";128;0;"Intel";" HD Graphics 620";"window";1.252;58022;201
72;"Dell";"Ultrabook";13.3;"small";1080;1920;0;"Intel";" Core i7";1.8;64;"SSD";256;0;"AMD";" Radeon 530";"window";1.4;50882;166
73;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"AMD";" Radeon 530";"window";2.2;46354;141
74;"MSI";"Gaming";17.3;"large";1080;1920;0;"Intel";" Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"window";2.7;58342;127
75;"Acer";"Notebook";14.0;"medium";768;1366;0;"Intel";" Core i3";2.0;8;"HDD";1024;0;"Intel";" HD Graphics 520";"window";2.1;20726;112
76;"Asus";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;8;"HDD";1024;0;"Nvidia";" GeForce GTX 1050";"window";2.2;50563;141
77;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;8;"HDD";2048;0;"Intel";" HD Graphics 620";"N/A";2.2;27652;141
78;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"Hybrid";128;1024;"Intel";" UHD Graphics 620";"window";2.02;45554;141
79;"Acer";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.7;4;"HDD";1024;0;"Nvidia";" GeForce MX130";"window";2.2;28238;141
80;"HP";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i5";1.6;8;"Hybrid";128;1024;"Nvidia";" GeForce 930MX";"window";2.5;52055;127
81;"Dell";"Ultrabook";15.6;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.88;58403;141
82;"Apple";"Ultrabook";12.0;"small";1440;2304;0;"Intel";" Core i5";1.3;8;"SSD";512;0;"Intel";" HD Graphics 615";"macos";0.92;80453;226
83;"HP";"Notebook";14.0;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.63;45821;157
84;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;"AMD";" A6-Series 9220";2.5;4;"SSD";128;0;"AMD";" R4 Graphics";"window";2.2;21259;141
85;"Acer";"Notebook";15.6;"medium";768;1366;0;"AMD";" A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";" Radeon R5";"window";2.1;21046;100
86;"Dell";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050 Ti";"window";2.65;71875;141
87;"HP";"Ultrabook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"Nvidia";" GeForce GTX 940MX";"window";1.83;37243;141
88;"HP";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.96;31914;141
89;"Asus";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1060";"window";2.2;77203;141
90;"Dell";"Ultrabook";13.3;"small";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.21;87859;166
91;"Asus";"Gaming";15.6;"medium";1080;1920;0;"AMD";" FX 9830P";3.0;8;"HDD";1024;0;"AMD";" Radeon RX 560";"window";2.45;37243;141
92;"Acer";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;2;"HDD";1024;0;"Nvidia";" GeForce MX150";"window";2.2;36710;141
93;"HP";"Notebook";13.3;"small";1080;1920;0;"Intel";" Core i7";1.8;16;"SSD";512;0;"Intel";" UHD Graphics 620";"window";1.49;63776;166
94;"Dell";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;8;"SSD";256;0;"Nvidia";" GeForce GTX 1060";"window";2.65;63670;141
95;"Asus";"Ultrabook";14.0;"medium";1080;1920;0;"Intel";" Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.25;55891;157
96;"Acer";"2 in 1 Convertible";13.3;"small";1080;1920;1;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.5;45128;166
97;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.7;8;"HDD";1024;0;"AMD";" Radeon R5 M430";"linux";2.2;31963;141
98;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.0;4;"SSD";256;0;"AMD";" Radeon R5 M430";"linux";2.2;25841;141
99;"Asus";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.4;6;"SSD";256;0;"Nvidia";" GeForce 920M";"window";2.0;30743;141
100;"HP";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;12;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"window";2.62;66547;141
101;"HP";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.7;8;"SSD";256;0;"AMD";" Radeon 530";"window";1.91;38308;141
102;"HP";"Notebook";15.6;"medium";1080;1920;0;"AMD";" E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";" Radeon R2";"window";2.1;18595;141
103;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"HDD";1024;0;"AMD";" Radeon 520";"linux";2.2;34472;141
104;"HP";"Ultrabook";13.3;"small";1080;1920;0;"Intel";" Core i7";2.7;8;"SSD";256;0;"Nvidia";" GeForce MX150";"window";1.38;59620;166
105;"Microsoft";"Ultrabook";13.5;"small";1504;2256;1;"Intel";" Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.252;71395;201
106;"HP";"Notebook";14.0;"medium";1080;1920;0;"Intel";" Core i5";2.5;6;"SSD";256;0;"Nvidia";" GeForce 940MX";"window";1.58;35112;157
107;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"window";1.85;22106;141
108;"Asus";"Ultrabook";14.0;"medium";1080;1920;0;"Intel";" Core i7";2.7;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"window";1.3;63563;157
109;"MSI";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1050 Ti";"window";2.2;69211;141
110;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;"Intel";" Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.58;78854;157
111;"Asus";"Ultrabook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;16;"Hybrid";256;1024;"Nvidia";" GeForce MX150";"window";1.5;67239;141
112;"Dell";"Ultrabook";13.3;"small";1800;3200;1;"Intel";" Core i7";2.4;8;"SSD";256;0;"Intel";" Iris Plus Graphics 640";"window";1.23;73473;276
113;"Lenovo";"2 in 1 Convertible";13.3;"small";1080;1920;1;"Intel";" Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.37;74539;166
114;"HP";"Notebook";14.0;"medium";768;1366;0;"Intel";" Core i5";1.6;4;"HDD";500;0;"Intel";" UHD Graphics 620";"window";1.63;38468;112
115;"Dell";"Ultrabook";13.3;"small";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.21;86793;166
117;"HP";"Notebook";14.0;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";512;0;"Intel";" UHD Graphics 620";"window";1.63;57756;157
118;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"Hybrid";256;1024;"Nvidia";" GeForce 940MX";"window";2.16;60224;141
119;"Asus";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i3";2.0;4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"window";2.0;30050;127
120;"Asus";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"window";1.7;59567;141
121;"Acer";"Notebook";15.6;"medium";1080;1920;1;"Intel";" Core i3";2.4;6;"HDD";1024;0;"Intel";" HD Graphics 620";"window";2.1;25521;141
122;"MSI";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";" GeForce GTX 1070";"window";1.8;119427;141
123;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"N/A";2.2;33513;141
124;"HP";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i7";1.8;16;"SSD";512;0;"Nvidia";" GeForce 930MX ";"window";2.5;67719;127
125;"Acer";"Notebook";15.6;"medium";768;1366;0;"AMD";" A9-Series 9420";3.0;4;"SSD";256;0;"AMD";" Radeon R5";"window";2.1;24029;100
127;"HP";"Notebook";14.0;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"HDD";1024;0;"Intel";" UHD Graphics 620";"window";1.63;43263;157
128;"Asus";"Notebook";14.0;"medium";768;1366;0;"AMD";" E-Series 6110";1.5;4;"SSD";64;0;"AMD";" Radeon R2";"window";1.65;14811;112
129;"Dell";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i7";1.8;16;"Hybrid";256;2048;"AMD";" Radeon 530";"window";2.8;74379;127
130;"HP";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";2.5;49444;127
131;"Dell";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i5";2.5;8;"HDD";1024;0;"AMD";" Radeon R7 M445";"window";2.36;34045;100
132;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.0;4;"HDD";1024;0;"AMD";" Radeon R5 M430";"window";2.2;23923;141
133;"Acer";"Ultrabook";14.0;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.6;47100;157
134;"Acer";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i3";2.7;4;"SSD";256;0;"Nvidia";" GeForce MX130";"window";7.2;30476;141
135;"HP";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i7";2.7;8;"HDD";1024;0;"Intel";" HD Graphics 620";"window";2.05;31861;100
136;"HP";"Notebook";14.0;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.63;52641;157
137;"Lenovo";"Notebook";15.6;"medium";768;1366;0;"Intel";" Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"N/A";1.9;13446;100
138;"Asus";"Gaming";17.3;"large";1080;1920;0;"Intel";" Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"window";3.0;49977;127
139;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";2.5;4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"N/A";2.2;26587;141
140;"HP";"Notebook";13.3;"small";1080;1920;0;"Intel";" Core i5";2.5;4;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.32;37243;166
141;"Acer";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i3";2.7;4;"HDD";1024;0;"Nvidia";" GeForce MX130";"window";3.0;34898;127
142;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"AMD";" Radeon RX 550";"window";1.75;59462;157
143;"Lenovo";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;8;"SSD";256;0;"Nvidia";" GeForce GTX 1050M";"N/A";2.4;46300;141
144;"Toshiba";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i5";2.3;4;"HDD";500;0;"Intel";" HD Graphics 520";"window";2.1;32075;100
145;"HP";"Notebook";15.6;"medium";768;1366;0;"AMD";" A6-Series 9220";2.5;4;"SSD";256;0;"AMD";" Radeon R4 Graphics";"window";1.86;19660;100
146;"Asus";"Ultrabook";14.0;"medium";1080;1920;0;"Intel";" Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.25;58555;157
147;"HP";"Ultrabook";12.5;"small";2160;3840;1;"Intel";" Core M";1.2;8;"SSD";512;0;"Intel";" HD Graphics 515";"window";0.97;107306;352
148;"Asus";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"window";2.0;18328;141
150;"Acer";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"window";2.1;23816;100
151;"Dell";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;16;"SSD";512;0;"Nvidia";" GeForce GTX 1050";"window";2.56;66561;141
152;"Dell";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;8;"Hybrid";1024;0;"Nvidia";" GeForce GTX 1050";"window";2.62;47899;141
153;"Lenovo";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i5";2.5;4;"SSD";128;0;"Intel";" HD Graphics 620";"window";1.9;26533;100
154;"MSI";"Gaming";17.3;"large";1080;1920;0;"Intel";" Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"window";2.8;100699;127
155;"HP";"Ultrabook";14.0;"medium";1080;1920;0;"Intel";" Core i5";2.7;4;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.48;57649;157
156;"HP";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";1.6;6;"SSD";256;0;"AMD";" Radeon 520";"window";1.91;32980;141
157;"Lenovo";"2 in 1 Convertible";14.0;"medium";1080;1920;1;"Intel";" Core i3";2.4;4;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.74;33513;157
158;"Asus";"2 in 1 Convertible";13.3;"small";1080;1920;1;"Intel";" Core i5";1.6;8;"SSD";256;0;"Intel";" HD Graphics 620";"window";1.1;70063;166
159;"Dell";"2 in 1 Convertible";15.6;"medium";1080;1920;1;"Intel";" Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"window";1.56;55891;141
160;"Toshiba";"Notebook";15.6;"medium";768;1366;0;"Intel";" Core i3";2.2;4;"HDD";500;0;"Intel";" HD Graphics 520";"window";2.1;23816;100
161;"Asus";"Notebook";15.6;"medium";768;1366;0;"AMD";" A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";" Radeon R5 M420";"window";2.03;21472;100
162;"Acer";"Notebook";17.3;"large";1080;1920;0;"Intel";" Core i5";1.6;4;"SSD";256;0;"Nvidia";" GeForce MX150";"window";3.0;42890;127
163;"Dell";"Notebook";15.6;"medium";1080;1920;0;"Intel";" Core i5";1.6;8;"SSD";256;0;"AMD";" Radeon 520";"window";2.13;38788;141
164;"Lenovo";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;16;"SSD";256;0;"Nvidia";" GeForce GTX 1050 Ti";"window";2.5;57489;141
165;"Acer";"Notebook";15.6;"medium";768;1366;0;"Intel";" Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"window";2.1;18541;100
166;"MSI";"Gaming";15.6;"medium";1080;1920;0;"Intel";" Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"window";2.4;95851;141
167;"Acer";"Notebook";15.6;"medium";768;1366;0;"Intel";" Pentium Quad";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 505";"window";2.1;19368;100
